symbol_clean,slug,context,context_clean,meaning_clean
clothing store,clothing-store,To dream that you are in a clothing store,to dream that you are in a clothing store,means that you are looking for a new image you want to be perceived in a different way alternatively dreaming that you are in a clothing store indicates that you are experiencing anxieties about fitting in or being suited for some position or role
clothes hanger,clothes-hanger,hanger,hanger,hanger
clothespin,clothespin,To see a clothespin in your dream,to see a clothespin in your dream,indicates that you are trying to control what is being revealed about yourself and your character you are trying to get a firmer grasp on your public self
clothespin,clothespin,To dream that you are pinching your nose with a clothespin,to dream that you are pinching your nose with a clothespin,suggests that you are above the situation at hand the situation does not deserve your time or attention
clouds,clouds,"To see fluffy, white clouds in your dream",to see fluffy white clouds in your dream,signify inner peace spiritual harmony and compassion an issue in your waking life may be clearing up
clouds,clouds,To see dark or stormy clouds in your dream,to see dark or stormy clouds in your dream,symbolize depression or anger it indicates an impending eruption of emotions alternatively it represents a lack of wisdom or confusion in some situation thus the dream may be a metaphor for your clouded way of thinking
clover,clover,To see a three-leaf clover in your dream,to see a threeleaf clover in your dream,symbolizes the past present and future
clover,clover,To see a four-leaf clover in your dream,to see a fourleaf clover in your dream,represents good luck and happiness the four leaves symbolize fame wealth good health and love alternatively the dream suggests that you have successfully come to a resolution of some problem
clover,clover,To see a field of white clovers,to see a field of white clovers,means that opportunities are just out of your reach
cloves,cloves,To see or taste cloves in your dream,to see or taste cloves in your dream,represent love protection and domestic bliss
clown,clown,To see a clown in you dream,to see a clown in you dream,symbolizes absurdity lightheartedness and a childish side to your own character the countenance of the clown is a lection of your own feelings and emotions whether it is a happy clown or a sad clown that will help guide you through how you may be feeling the actions of the clown signifies your uninhibited nature alternatively a clown is an indication of your thoughtless or insincere actions
clown,clown,"If you have a fear or phobia of clowns, the clown may",if you have a fear or phobia of clowns the clown may,represent a mysterious person in your life who mean you harm somebody you know may not be who they appear to be or somebody may be pretending to be somebody they are not and are hiding under a facade
club,club,To see a club in your dream,to see a club in your dream,denotes feelings of aggression or submission depending if the club is used by or against you you may have some unexpressed anger that is on the verge of boiling over it is also symbolic of virility and combativeness
club,club,To dream that you are in a night club or dance club,to dream that you are in a night club or dance club,represents the social aspects of your life and your sense of belonging the dream could be a commentary on your lifestyle perhaps you need to settle down a little
club,club,To see the clubs of a deck of card in your dream,to see the clubs of a deck of card in your dream,indicate work and industry
clubbing,clubbing,To dream that you are clubbing,to dream that you are clubbing,represents your sense of belonging more directly the dream suggests your need to relax and let loose or that you need to settle down a little
clue,clue,To dream that you find a clue,to dream that you find a clue,represents some information or some thing is coming into your consciousness the dream is also a sign that you need to be more aware of your surroundings
clumsy,clumsy,To dream that you or someone is clumsy,to dream that you or someone is clumsy,suggests that some situation or relationship is not going smoothly in your life you need to take it easy and not be too hard on yourself
clutter,clutter,To see clutter in your dream,to see clutter in your dream,indicates that you need to clean up and organize a certain aspect of your life the dream could be telling you that you need to let go of the past
coach,coach,To see or dream that you are a coach,to see or dream that you are a coach,indicates that you need to be more selfdisciplined
coal,coal,To see a coal in your dream,to see a coal in your dream,represents wealth and prosperity it also points to your unused potential alternatively it indicates that you have been misbehaving and have been caught in the act
coal,coal,To dream that you or someone is walking on coals,to dream that you or someone is walking on coals,indicates that you will overcome adversity nothing is impossible if you put your mind to it
coast,coast,To see the coast in your dream,to see the coast in your dream,suggests that you are on a spiritual quest the coast symbolizes the meeting between your two states of mind the rational and the irrational alternatively the dream may be a metaphor of how you are coasting through life you may need to take things more seriously or the dream may be telling you that the coast is clear you are free to move ahead
coat,coat,To see or wear a coat in your dream,to see or wear a coat in your dream,symbolizes your protectiveness and defensive persona you may be isolating yourself consider also the color appearance and type of coat for additional significance
coat,coat,"To dream that a coat is old, worn, or shabby",to dream that a coat is old worn or shabby,suggests that you are feeling down on yourself
coat,coat,To see or wear a fur coat in your dream,to see or wear a fur coat in your dream,symbolizes prosperity and luxury it also indicates your need for attention and your need to be admired
coat of arms,coat-of-arms,To see a coat of arms in your dream,to see a coat of arms in your dream,represents your familial roots and identity
cobra,cobra,To see a cobra in your dream,to see a cobra in your dream,represents creation and creative energies some situation or relationship has you hypnotized
cobwebs,cobwebs,To see cobwebs in your dream,to see cobwebs in your dream,suggest that you have not reached your full potential your talents are not being utilized alternatively the dream indicates that you are neglecting your responsibilities talents or some issue
cocaine,cocaine,To dream that you are taking cocaine,to dream that you are taking cocaine,indicates that you are feeling empty and devoid of emotions you are looking to get out of your commitments or denying your responsibilities you lack ambition on a more positive note the dream may be telling you that you need to be more lively and energetic
cock,cock,To see a cock in your dream,to see a cock in your dream,symbolizes masculinity pride valor cockiness and arrogance it indicates that you or someone is being a showoff you have little or no regards for others the dream may also be a pun on the penis
cock,cock,To hear a rooster in your dream,to hear a rooster in your dream,signifies bragging and selfglorification
cock,cock,To see cocks fighting in your dream,to see cocks fighting in your dream,indicate an attack on your masculinity
cockatiel,cockatiel,To see a cockatiel or cockatoo in your dream,to see a cockatiel or cockatoo in your dream,implies that you tend to wear your emotions of your face you are not one to hide your true feelings dreaming of a white cockatoo indicates that you are feeling calm
cocker spaniel,cocker-spaniel,To see a cocker spaniel in your dream,to see a cocker spaniel in your dream,symbolizes your alertness the appearance of a spaniel may mean that you are looking for companionship you are ready for a relationship
cockerel,cockerel,To see a cockerel in your dream,to see a cockerel in your dream,symbolizes male aggression and masculinity the dream may also be a warning of some kind
cockfight,cockfight,To watch or participate in a cockfight in your dream,to watch or participate in a cockfight in your dream,implies that you masculinity or pride is under attack you feel the need to defend your masculinity
cockpit,cockpit,To dream that you are in a cockpit of a plane,to dream that you are in a cockpit of a plane,suggests that you need to take a leadership role and show that you are in control of the situation you need to prove yourself
cockroach,cockroach,To see a cockroach in your dream,to see a cockroach in your dream,symbolizes uncleanness it also signifies longevity tenacity and renewal you need to reevaluate major aspects of your life alternatively the dream represents an undesirable aspect of yourself in which you need to confront a roach may also be a pun on smoking marijuana
cockroach,cockroach,To dream that two cockroaches are fighting in the kitchen,to dream that two cockroaches are fighting in the kitchen,implies that you are undergoing a spiritual conflict you need to acknowledge and confront the issue in order to complete your transformation and achieve wholeness
cockroach,cockroach,To dream that you have pet cockroaches kept in an aquarium,to dream that you have pet cockroaches kept in an aquarium,implies that you are trying to contain your negative attributes
cockroach,cockroach,"To see a white cockroach in your dream with the word ""soap"" on it",to see a white cockroach in your dream with the word soap on it,symbolizes uncleanness the dream is telling you that you may be able to physically cleanse yourself but are unable to cleanse yourself spiritually andor mentally
cockroach,cockroach,To dream that Madagascar hissing cockroaches are coming out of your ears,to dream that madagascar hissing cockroaches are coming out of your ears,indicate that someone is trying to provoke you into doing or saying something your might regret you need to show some restraint before reacting alternatively the dream represents your fear over something you heard
cocktails,cocktails,To dream that you are drinking cocktails,to dream that you are drinking cocktails,indicate your need for some relaxation you need to escape and get away from the daily grind and unwind
cocoa,cocoa,To dream that you are eating cocoa,to dream that you are eating cocoa,ers to relaxed state of mind you are enjoying life
coconuts,coconuts,To see a coconut in your dream,to see a coconut in your dream,foretells of unexpected rewards
cocoon,cocoon,To see a cocoon on your dream,to see a cocoon on your dream,signifies a place of safety and solitude it may also represent transformation or healing
cocoon,cocoon,To dream that you are in a cocoon,to dream that you are in a cocoon,represents your need to rejuvenate and restore your body mind and spirit you may be recreating new paths of expression and perhaps a rebirth alternatively it symbolizes your unrealized potential and possibilities
coffee,coffee,To dream that you are drinking or need your coffee,to dream that you are drinking or need your coffee,suggests that you need to gain some insight and knowledge before making a decision or tackling some projectrelationship you may be acting too hasty and need to slow down alternatively it may imply a need for you to change your routine
coffee,coffee,To dream that you are drinking coffee with someone,to dream that you are drinking coffee with someone,indicates that you might have feelings for that person alternatively having coffee with someone denotes your hospitality and sociability
coffee,coffee,To see a coffee pot in your dream,to see a coffee pot in your dream,signifies hospitality and sharing of knowledge hopes concerns andor ideas it may also represent neighborliness comfort and companionship
coffee,coffee,Dreaming of dry coffee grounds,dreaming of dry coffee grounds,ers to your readiness for change to dream that you have a mouth full of dry coffee grounds point to a decision that you are having a hard time accepting
coffee,coffee,"If you dream that you are trying to make coffee, but encounter a problem (i.e. broken coffee maker, looking for a measuring spoon, using too much water or coffee grounds), ",if you dream that you are trying to make coffee but encounter a problem ie broken coffee maker looking for a measuring spoon using too much water or coffee grounds,then it suggests that you are trying too hard to please others
coffee bean,coffee-bean,To see a pile of coffee beans in your dream,to see a pile of coffee beans in your dream,represent your potential you have some energy stored up waiting to be utilized alternatively dreaming about coffee beans point to something that requires your prompt attention
coffee maker,coffee-maker,To see a coffee maker in your dream,to see a coffee maker in your dream,represents a disturbance in your psyche and wellbeing you are feeling offbalanced alternatively the dream could also mean your level of alertness consider the phrase wake up and smell the coffee
coffee shop,coffee-shop,To dream that you are at a coffee ship,to dream that you are at a coffee ship,indicates that it is time to catch up with old friends it is symbolic of social gatherings and merriment
coffee table,coffee-table,To see a coffee table in your dream,to see a coffee table in your dream,signifies your social circle and togetherness
coffin,coffin,To see a coffin in your dream,to see a coffin in your dream,symbolizes the womb it also signifies your thoughts and fears of death if the coffin is empty then it denotes irreconcilable differences alternatively the coffin represents ideas and habits that are no longer of use and can be buried in particular if the coffin is white then it ers to lost innocence
coffin,coffin,To dream of seeing a body or dream of seeing yourself in a coffin,to dream of seeing a body or dream of seeing yourself in a coffin,suggests that you are going through a period of depression you are feeling confined restricted and lacking personal freedom there may be a dead or decaying situation or issue in your life that you need to address it is time to end this situation or relationship
coins,coins,To see coins in your dream,to see coins in your dream,indicate missed or overlooked opportunities that have come your way to see gold coins in your dream represent success and wealth silver coins represent spirituality intuition values and your sense of selfworth copper coins indicates healing
coins,coins,To see coins stacked in your dream,to see coins stacked in your dream,symbolize masculine power dominance and energy
coins,coins,To dream that you are flipping a coin,to dream that you are flipping a coin,represents your casual attitude about making some decision you may also not be taking responsibility for your decisions alternatively it indicates your irrational thoughts
cola,cola,soda,soda,soda
colander,colander,To see or use a colander in your dream,to see or use a colander in your dream,indicates that you are unable to keep your emotions contained alternatively the dream suggests that you need to separate your feelings from a situation and try to be more objective
cold,cold,To dream that you are cold,to dream that you are cold,indicates that you are experiencing a breakthrough in some area in your life alternatively you may be feeling isolated or emotionally restrained your sense of coldness could lect your feelings about a lover or a certain person the dream may also occur as a result of your immediate environment in which you are really feeling cold
cold,cold,To see the word cold in your dream,to see the word cold in your dream,suggests that you need to be more neutral or objective in your decision making you need to remain emotionally detached
cold,cold,To dream that you touch something cold,to dream that you touch something cold,suggests that you should avoid that object or what that object represents in your waking life
cold sore,cold-sore,To dream that you have a cold sore,to dream that you have a cold sore,indicates that you have expressed some hurtful words you are regretting something you have said
coliseum,coliseum,To dream that you are performing in a Roman coliseum,to dream that you are performing in a roman coliseum,implies that you are making a spectacle of yourself either in a positive or negative way if you dream of a coliseum in ruins then it represents longevity andor something that is leaving a lasting impression alternatively the dream suggest that you are neglecting the performer within yourself
collapse,collapse,To dream that you collapse,to dream that you collapse,indicates that you are pushing yourself too hard you have lost sight of your goals and what you need to accomplish you may also be having difficulties trusting your own judgment and decisions
collar,collar,To see a collar in your dream,to see a collar in your dream,signifies confinement and restraint you may be going through a frustrating work situation or a confining relationship
collar,collar,To dream that you have ring around the collar,to dream that you have ring around the collar,indicates that you need to clean up your language and the way you talk to others
colleague,colleague,coworker,coworker,coworker
collections,collections,To dream that you are dealing with collections,to dream that you are dealing with collections,suggests that you are feeling picked on or harassed alternatively it indicates that you may be too proud to ask for help
college,college,To dream that you are in college,to dream that you are in college,indicates that you are going through some social or cultural changes you want to expand your knowledge and awareness it also suggests that now is a good time for you to experiment and try new things if you had gone to college in your past then also consider your personal experiences and memories of your college days however if you are currently in college then it may be a lection of your current surroundings alternatively the dream suggests that you will achieve your goals through perseverance and hard work you may be going through a period of stress in your life
colonel,colonel,To see a colonel in your dream,to see a colonel in your dream,suggests that you need to be mindful of others feelings
colonel,colonel,To dream that a colonel is stripped of their rank,to dream that a colonel is stripped of their rank,indicates that something will not go according to your plan
colorado,colorado,"If you have never been to Colorado and have a dream that you are in Colorado, ",if you have never been to colorado and have a dream that you are in colorado,then it suggests that you need to get out and enjoy what nature has to offer
coloring book,coloring-book,To see or color in a coloring book,to see or color in a coloring book,symbolizes childhood it indicates that you have a caree attitude free from any responsibilities on the other hand the dream may be warning you against being idle and wasting time on fruitless pursuits consider the significance of the color you are using and what you are coloring what is depicted in the coloring book suggests that you need to be more expressive in that area
colorless,colorless,To have a colorless dream,to have a colorless dream,suggests a depressed mood and a feeling of sadness you may be shutting yourself off from others
colors,colors,Colors in dreams,colors in dreams,represent energy emotions and vibes first consider what that single color in your dream means to you and your own personal associations and relationship with that color in general pale pastel colors indicate weakness or subtlety dark colors represent passion and intensity bright colors mean awareness
colors,colors,To dream in color and then dream in black and white,to dream in color and then dream in black and white,suggests that you are starting to look at a situation from a more objective perspective instead of from an emotional standpoint you are subconsciously reacting to events in the dream
colt,colt,To see a colt in your dream,to see a colt in your dream,suggests that you are feeling awkward and insecure you may also be starting to unleash your unused potential
column,column,To see columns in your dream,to see columns in your dream,symbolize strength and hard work you may be feeling burdened or drained in some way or that you find yourself needing to support others
coma,coma,To dream that you are in a coma,to dream that you are in a coma,indicates your helplessness and inability to function in some given situation you are not prepared for the major changes that are happening around you alternatively your dream coma state may lect what is really happening to your body when you are in the dream stage of sleep in this stage of sleep your body remains immobile as if it was paralyzed commonly erred to as rem paralysis
comb,comb,To dream that you are combing your hair,to dream that you are combing your hair,suggests your need to organize and sort your thoughts you need to search for some elements that are not clear to you in a situation or relationship alternatively combing you hair may highlight your preoccupation with appearances and beauty over substance and quality
combination lock,combination-lock,To see or use a combination lock in your dream,to see or use a combination lock in your dream,indicates that you are shutting yourself down and not letting others in consider the numbers in the combination for additional significance
combination lock,combination-lock,To dream that you forgot your combination,to dream that you forgot your combination,indicates that you are reluctant in fully expressing yourself something is holding you back alternatively the dream may also parallel a date or appointment that you have forgotten
combustion,combustion,To see a combustion in your dream,to see a combustion in your dream,represents violent rage or sudden anger you have kept your feelings inside for too long and it is erupting uncontrollably
comedian,comedian,To see or dream that you are a comedian,to see or dream that you are a comedian,suggests that you need to be more caree you are feeling overburdened from your daily problems and need an outlet to release all that tension you need to learn to laugh at yourself and not take yourself so seriously
comedy,comedy,To dream that you are watching a comedy,to dream that you are watching a comedy,suggests that you need to try and find the humorous side of a situation especially when things seem to get too intense sometimes you need to take life less seriously and be more caree
comet,comet,To see a comet in your dream,to see a comet in your dream,indicates that you need to move on and free yourself from emotional and physical burdens charge forward toward your goals
comforter,comforter,To see or use a comforter in your dream,to see or use a comforter in your dream,symbolizes warmth love security and protection you may be seeking for some form of shelter from the outside world alternatively the dream may be a metaphor that you are looking for comfort or that you need to be comforted by someone you feel depressed
comics,comics,To see or read comics in your dream,to see or read comics in your dream,suggest that you need to learn to not take yourself so seriously you need to have more of a sense of humor
comics,comics,To dream that you are collecting comics,to dream that you are collecting comics,indicate that you use to see the problems that exist in your life and only want to focus on the good times perhaps you are in denial about something
command,command,To dream that you are giving commands,to dream that you are giving commands,ers to ability to express your desires or ideas the dream may also be telling you that you need to have more of a presence and take a more active role in a situation take control over your life and behavior
command,command,To dream that someone is commanding you,to dream that someone is commanding you,highlights your subordinate role perhaps you need to show more humility in a situation
commandments,commandments,To dream of the commandments in your dream,to dream of the commandments in your dream,suggests that you will be rewarded if you behave and follow the rules if it is a specific commandment consider how it relates to you waking situation
commentator,commentator,announcer,announcer,announcer
commercials,commercials,To dream that you are watching TV commercials,to dream that you are watching tv commercials,signify your tendency to jump from one thing to another without completing your initial responsibilities and tasks you have a tendency to emotionally distance yourself and remain objective about the situations you are faced with
commercials,commercials,"If the commercials quickly jump from one to another, ",if the commercials quickly jump from one to another,then the dream symbolizes your flightiness
commune,commune,To dream that you live in a commune,to dream that you live in a commune,indicates that you are withdrawing from society you are doing things your own way and living by your own set of rules
communication,communication,To dream that you have difficulties communicating,to dream that you have difficulties communicating,represents low self esteem and feelings of inadequacy
communion,communion,To dream of communion,to dream of communion,symbolizes your conflict with the material world and the spiritual world you are torn between your values and your feelings alternatively the dream indicates a betrayal you may also be seeking some form of acceptance
community,community,To have a sense of community in your dream,to have a sense of community in your dream,means that you need to nurture your relationships with your familyfriends and develop new ties perhaps you need to look at expanding your network of friends
compact disc,compact-disc,To see a compact disc in your dream,to see a compact disc in your dream,represents a need for enjoyment or a distraction it denotes opportunities and possibilities consider the type of music and the title of the compact disc if you are giving away the cd you may be trying to convey a message to that person within the songs
compact disc,compact-disc,Compact Disc,compact disc,consider also if the initial cd have any additional significance to you perhaps it may even be a pun on something that is seedy
compass,compass,To see a compass in your dream ,to see a compass in your dream,is a way of your subconscious to show you the way the dream may be telling you to reconsider the direction in your life and to rethink the path you are taking
compass,compass,To see or use a drafting compass in your dream,to see or use a drafting compass in your dream,represents your set path you do not like to deviate from your plans even if it becomes monotonous alternatively a drafting compass symbolizes your drive for perfection
compassion,compassion,To dream about compassion,to dream about compassion,indicates that you are lacking this quality in your waking life you need to be more sympathetic toward others
competition,competition,To dream that you are in a competition,to dream that you are in a competition,represents your need to grow and expand learn the value of endurance and perseverance you also need to be more assertive alternatively the dream may lect your anxiety about some real life competition that you are involved in
competition,competition,To dream that you win a competition,to dream that you win a competition,suggests that you possess the necessary skills to accomplish a goal or solve a problem in your waking life
complain,complain,To dream that you or someone is complaining about something,to dream that you or someone is complaining about something,signifies suppressed or unexpressed feelings that are threatening to surface the actual complaint usually ers to something else that is really bothering you
complexion,complexion,To dream of your complexion,to dream of your complexion,represents how others perceive you
compliment,compliment,To dream that you are giving a compliment,to dream that you are giving a compliment,suggests that you need to be steadfast and not let others question your authority and position on things
compliment,compliment,To dream that you are being complimented,to dream that you are being complimented,signifies pride and selflove you feel good about yourself however be caul not to let it get to your head
composer,composer,To dream that you are a composer,to dream that you are a composer,signifies that you are creating or directing new found energies to some aspect of your life
compost,compost,To see compost in your dream,to see compost in your dream,suggests that you need to channel and transform your outdated ideas or past experiences into something you can learn from
copyright,copyright,To dream of a copyright,to dream of a copyright,indicates that you are guilty of copyright infringement content within this dream dictionary has been copied without permission from dream mo0ds
computer,computer,To see a computer in your dream,to see a computer in your dream,symbolizes technology information and modern life new areas of opportunities are being opened to you alternatively computers represent a lack of individuality and lack of emotions and feelings too often you are just going along with the flow without voicing your own opinions and views you may also feel a depreciated sense of superiority
computer,computer,To dream that your computer has a mind of its own,to dream that your computer has a mind of its own,denotes anxiety about technology and loss of control you are feeling overwhelmed and that you are at the mercy of another
computer,computer,To dream that a computer has a virus or has crashed,to dream that a computer has a virus or has crashed,suggests that something in your life that is out of control it may parallel something in your life that has come to a crashing end if you dream that your computer has a sentient computer virus that would create random or strange artwork then it depicts your subconscious desires the artwork may also be a lection of a situation in your life that you are ignoring in particular if the artwork is of a little boy smearing xs with his poop on a calendar then it indicates past regrets or remorse
computer games,computer-games,To dream that you are playing computer games,to dream that you are playing computer games,represent a situation in your waking life where you either win or lose if you dream the game is over then it indicates that something has come to an end consider the type of game and how it parallels your life
computer mouse,computer-mouse,To see or use a computer mouse in your dream,to see or use a computer mouse in your dream,symbolizes control over your thoughts if the mouse is malfunctioning then it denotes confusion
concentration camp,concentration-camp,To see or live in a concentration camp in your dream,to see or live in a concentration camp in your dream,indicates that you are afraid of differences you are having difficulties accepting others and their differences learn to appreciate diversity and the uniqueness in yourself and in others around you if you actually lived in a concentration camp then the dream may signify a situation in your waking life which is triggering similar feelings felt at the time
concern,concern,To dream that you are concerned about something or someone,to dream that you are concerned about something or someone,indicates that you are feeling much anxiety unhappiness or uneasiness in some situation of your waking life the concern you have in your dream may be something you need to pay attention to and acknowledge
concern,concern,To dream that someone is concerned about you,to dream that someone is concerned about you,implies that you are behaving recklessly
concert,concert,To dream that you are at a concert,to dream that you are at a concert,represents harmony and cooperation in a situation or relationship in your waking life you are experiencing an uplift in your spirits
concert,concert,To dream that you are holding a concert,to dream that you are holding a concert,symbolizes your untapped talents and hidden potential you need to show of your creative side
conch shell,conch-shell,To see a conch shell in your dream,to see a conch shell in your dream,represents sexual inhibitions the dream may also be a warning
concussion,concussion,To dream that you have a concussion,to dream that you have a concussion,suggests that you are not utilizing your fullest potential you need to be more responsive to others instead of just sitting back and waiting for things to happen
concrete,concrete,To see concrete in your dream,to see concrete in your dream,represents your solid and clear understanding of some situation the dream may also mean that you are too unyielding and inflexible
concrete,concrete,To see wet concrete in your dream,to see wet concrete in your dream,suggests that some issue or some aspect of your life still remains unresolved
concubine,concubine,To dream that you are a concubine,to dream that you are a concubine,implies that you are compromising your own values and beliefs you are sacrificing your own happiness to please someone else
concubine,concubine,To dream that you are keeping a concubine,to dream that you are keeping a concubine,ers to a sexual relationship that you are involved in but have no emotional bond
condo,condo,To see or live in a condo in your dream,to see or live in a condo in your dream,ers to your financial and emotional state you are looking for financial or emotional independence consider the appearance of the condo for indication on the current status of your life
condom,condom,To see a wrapped condom in your dream,to see a wrapped condom in your dream,represents your onesided viewpoints you are not allowing others to voice their opinions it also symbolizes sexual possibilities
condom,condom,To see an unwrapped condom in your dream,to see an unwrapped condom in your dream,indicates sexual frustration additionally it may also indicate that you are experiencing some anxiety about pregnancy or sexually transmitted diseases
condom,condom,To dream that you or your partner is wearing a condom,to dream that you or your partner is wearing a condom,suggests that you feel emotionally protected
condor,condor,To see a condor in your dream,to see a condor in your dream,signifies your close connection with your spirituality and to the supernatural you possess a lot of insight
conductor,conductor,To see or dream that you are a conductor,to see or dream that you are a conductor,represents your abilities to lead and direct yourself toward higher awareness
cone,cone,To see a cone in your dream,to see a cone in your dream,represents a flow of ideas and feelings
conference,conference,To dream that you are attending a conference,to dream that you are attending a conference,suggests that you need to consider the ideas and opinions of others before forming your own conclusion dont be so close minded and listen to what others have to say
confession,confession,To dream that you or someone is confessing,to dream that you or someone is confessing,represents feelings of guilt and selfblame alternatively it suggests a form of healing you are heralding new changes into your life
confessional,confessional,To see a confessional in your dream,to see a confessional in your dream,represents something that you can no longer keep to yourself you are feeling guilty or ashamed for your actions
confetti,confetti,To see or throw confetti in your dream,to see or throw confetti in your dream,represents achievement and success you have achieved a higher level of growth and learning and are at a turning point in your life alternatively it symbolizes much festivity and fanfare you may be expressing joy victory and freedom from restraint
confront,confront,To dream of a confrontation,to dream of a confrontation,represents a conflict or a fear that you are facing in your waking life the dream provides a safe venue for you to confront your enemy or attacker who you are afraid of standing up to in your waking life you need to use your dream to overcome your fears next time you have this dream tell your enemy or attacker that you are not afraid of them
confucius,confucius,To see Confucius in your dream,to see confucius in your dream,indicates that you need to utilize your common sense perhaps you are acting stupid and need to wise up alternatively it represents the importance of loyalty and duty to your family
confusion,confusion,To dream that you are confused,to dream that you are confused,lects your true confused state of mind and the nonsensical events of your waking life isolate the single element in your dream that is confusing to you and analyze the meaning of that particular symbol alternatively dreams of confusion indicate that you are being pulled in opposite directions or you do not know which viewpoint is right
conga line,conga-line,To see or be part of a conga line in your dream,to see or be part of a conga line in your dream,implies that you are lacking creative expression you tend to go along with what others are doing or saying alternatively the dream epresents lighthearted fun you need to let loose a little sometimes
congratulate,congratulate,To dream that you are congratulating someone,to dream that you are congratulating someone,represents your ability to offer your help and assistance to others
congratulate,congratulate,To dream that you are being congratulated,to dream that you are being congratulated,indicates that you need to learn to ask for help when you need it you need to let go of your pride alternatively the dream represents approval of your action or decision
conjoined twins,conjoined-twins,siamesetwins,siamesetwins,siamesetwins
conker,conker,To see a conker in your dream,to see a conker in your dream,implies that you have been callous andor insensitive toward someone or something alternatively the dreaming of a conker may be a pun to mean conquer perhaps there is a situation or problem that you need to overcome or take control of
conker,conker,"If you dream about playing conkers, ",if you dream about playing conkers,then it indicates that you are experiencing some peer pressure
conman,conman,To see a conman in your dream,to see a conman in your dream,indicates that you are being taken advantage of in some way the dream may highlight fears that you are being played perhaps you need to trust your instincts
conman,conman,To dream that you are a con artist,to dream that you are a con artist,represents your ability to manipulate some situation or relationship the dream may be calling attention to your lacking conscience and low character
connection,connection,To dream that you miss your train or plane connection,to dream that you miss your train or plane connection,symbolize missed opportunities the dream may also be a metaphor for your inability to make contact with something or someone
console,console,To dream that you are being consoled,to dream that you are being consoled,suggests that you are repressing your sorrow or grief something in your waking life is bothering you more than you want to admit the dream is telling you that you need to express your sadness and not keep it inside alternatively the dream implies that you are feeling emotionally neglected your feelings are being overlooked
console,console,To dream that you are consoling someone,to dream that you are consoling someone,means that you need to be more empathetic to others
conspiracy,conspiracy,To dream of a conspiracy,to dream of a conspiracy,suggests that you are deceiving others or being deceived by someone consider the people who are involved these people may represent aspects of yourself and thus imply that you are lying to yourself
constellation,constellation,To see a constellation in your dream,to see a constellation in your dream,indicates that something in your life is coming together in a complex way it represents a mental process consider what the constellation is depicting
constipation,constipation,To dream that you have constipation,to dream that you have constipation,denotes that you are unwilling to part with your old ways you continue to grasp onto your old ways and fail to let go forgive and forget you may be dwelling on past problems and previous difficulties
construction,construction,To dream that a building is under construction,to dream that a building is under construction,suggests that you need to work on some aspect of yourself and better your mind or body
construction,construction,To see construction in your dream,to see construction in your dream,signifies a new surge of energy growth ambition and renewed confidence it may also represent the rebuilding of your own life
construction,construction,To dream that you are walking baoot on a construction site,to dream that you are walking baoot on a construction site,means that you are not ready to put in the work necessary to improve your mind or body perhaps you are in denial that you need any improvement
contact lens,contact-lens,To see or wear contact lens in your dream,to see or wear contact lens in your dream,suggests that you need to focus on the task at hand you need to pay closer attention to a situation before acting on it the dream may also be a metaphor that you need to get in contact with someone
contact lens,contact-lens,"If you have difficulties putting on your contact lens in your dream, ",if you have difficulties putting on your contact lens in your dream,then it indicates that you are having trouble paying attention
contest,contest,To dream that you enter or are in a contest,to dream that you enter or are in a contest,indicates the need to prove yourself as worthy and deserving if you win the contest then it represents your selfconfidence pride andor conceit if you lose the contest then it indicates a lack of selfesteem you may not be fully applying yourself to the task at hand
container,container,To see a container in your dream,to see a container in your dream,ers to your tendency to keep your thoughts ideas or feelings inside instead of expressing them alternatively the dream indicates that you need to be better organized
contortionist,contortionist,To see or dream that you are a contortionist,to see or dream that you are a contortionist,suggests that you are literally getting all twisted and wound up over a problem or situation in your life alternatively it represents flexibility in your thinking or fluidity in your emotions the dream may also be a metaphor in how you are able to stretch or twist the truth or facts of a situation
contraceptive,contraceptive,To see or use contraceptive in your dream,to see or use contraceptive in your dream,suggests that you are using to let your creativity emerge from beneath the surface you are holding back some aspect of yourself the contraceptive may be a metaphor for protection against emotional hurt alternatively it signifies your anxieties about pregnancy or sexually transmitted diseases
contract,contract,To dream that you are signing a contract,to dream that you are signing a contract,indicates that you are ready to commit to a long term relationship or project
contract,contract,To dream that you enter into a bad contract,to dream that you enter into a bad contract,suggests that you need to think twice about committing to a relationship caully examine what you are getting into
contrail,contrail,To see a contrail in your dream,to see a contrail in your dream,symbolizes hope pride and possibilities alternatively the dream may seek to tell you that no matter how far or how fast you go you will always leave an impression on those you left behind you will not be forgotten
control tower,control-tower,To see or dream that you are in a control tower ,to see or dream that you are in a control tower,may be a metaphor that you need to get a better handle on your waking life situation you need to take things one at a time and evaluate the situation individually alternatively the dream symbolizes complete control over your emotions you may be too overly rational and not let feelings get in the way
convent,convent,To dream that you are at a convent,to dream that you are at a convent,represents your need for spiritual support and nurturance you need to isolate yourself and block out any external forces that may cloud your judgment alternatively the dream indicates that you are being restricted from fully expressing yourself
convention,convention,To dream that you are at a convention,to dream that you are at a convention,represents your need for contact and communication you need to keep in mind that the choices you make with effect those around you dont be hesitant in getting them involved in your decision making the dream is also a metaphor for bringing various aspects of yourself together consider the type of convention for additional clues as to what may be lacking in your life
conversion,conversion,To dream about a conversion,to dream about a conversion,indicates your hopes that some problem or situation can be changed this dream also represents your mobility and adaptability to situations in life
